player,player_id,first_serve_pct,first_serve_win_pct,service_win_pct,second_serve_win_pct,first_return_win_pct,second_return_win_pct,rank,age,rank_change,cluster_rank,matches_played,cluster_age,climb_rate
Marco Cecchinato,cf01,0.5654206500030662,0.7478532107738076,0.6306394193649119,0.48201466688883776,0.2433926049344366,0.4699703930946268,110,25.0,80,241,18.0,0.04,4.444444444444445
Bjorn Fratangelo,f811,0.6145505809979495,0.7357091795051354,0.6835383914331283,0.5962210615471485,0.20754683684371186,0.47698112073112076,111,24.0,2,240,34.0,0.041666666666666664,0.058823529411764705
Cameron Norrie,n771,0.5733266716821123,0.7115890940051075,0.6379282854920538,0.5458441257925564,0.2613614659275654,0.4941538803292358,112,22.0,125,238,8.0,0.045454545454545456,15.625
Thomaz Bellucci,bd20,0.6183043313301244,0.7285463446548891,0.6618358517350174,0.5579944282939533,0.27611547067135755,0.4850543429690506,113,29.0,-46,236,36.0,0.034482758620689655,-1.2777777777777777
Gastao Elias,e698,0.6182673476332272,0.6767591640899996,0.5979459413341666,0.46590455710181056,0.26243303190843253,0.453764753770718,114,26.0,-38,234,22.0,0.038461538461538464,-1.7272727272727273
Alexander Bublik,bk92,0.5807946013010548,0.7006847475891274,0.61254725413433,0.4884715036556068,0.28749043687409737,0.4772606645588622,115,20.0,52,233,27.0,0.05,1.9259259259259258
Sergiy Stakhovsky,sc77,0.5553508771929825,0.7655151391993498,0.6432017543859649,0.5119617224880383,0.22728937728937731,0.4417511520737327,116,31.0,-5,231,41.0,0.03225806451612903,-0.12195121951219512
Henri Laaksonen,l949,0.5757871383896733,0.7478282076924768,0.6568264637911312,0.5563993130788454,0.2739089885097387,0.5525275656800969,117,25.0,10,230,27.0,0.04,0.37037037037037035
Ruben Bemelmans,be54,0.5610493330746077,0.7437895518236128,0.6450449957958756,0.5197531865079245,0.29625548275999997,0.5053760469192525,118,29.0,23,229,23.0,0.034482758620689655,1.0
Yannick Hanfmann,h997,0.6550384152720611,0.649919574325284,0.5714217509326853,0.45776078759949723,0.2235939806029939,0.3628618113912232,119,26.0,233,227,23.0,0.038461538461538464,10.130434782608695
Ernesto Escobedo,e873,0.6522952853598015,0.7339015151515151,0.6610794044665013,0.5071754563894524,0.2901127386438447,0.5298821548821548,120,21.0,0,226,44.0,0.047619047619047616,0.0
Jerzy Janowicz,j397,0.5412721894158707,0.7010726533676384,0.6102522445857477,0.49695600898018216,0.3025235184162568,0.5396850247314133,121,27.0,152,225,22.0,0.037037037037037035,6.909090909090909
Yuki Bhambri,bf55,0.5979159637909692,0.7061734089658119,0.6172337983319172,0.48625635293788116,0.293882149199891,0.4572992846527568,122,25.0,246,224,17.0,0.04,14.470588235294118
Dustin Brown,ba65,0.6215815545627534,0.7420231066715812,0.6488225159965533,0.5070683285885065,0.2657940337966169,0.4935682883527711,123,32.0,-59,223,30.0,0.03125,-1.9666666666666666
Pedro Sousa,s483,0.6188881166509688,0.698683345690113,0.5998404410871083,0.43252760524499656,0.3217464523440867,0.36792693615662947,124,29.0,68,222,9.0,0.034482758620689655,7.555555555555555
Carlos Berlocq,b884,0.6589800239344563,0.6350091256014601,0.5963177759366658,0.5210227272727272,0.39348174470457076,0.584920634920635,125,34.0,-44,221,35.0,0.029411764705882353,-1.2571428571428571
Thiago Monteiro,mj08,0.5419542246075392,0.7602716140549948,0.6159158928234725,0.459510822950053,0.2735049267665867,0.5050088357269209,128,23.0,-42,219,44.0,0.043478260869565216,-0.9545454545454546
Quentin Halys,hb64,0.6103382333541969,0.747039485153467,0.626358288038365,0.43883496573799474,0.2672876252443197,0.4352193434436652,129,21.0,41,218,20.0,0.047619047619047616,2.05
Tim Smyczek,sf62,0.5543473634376772,0.7609459525160168,0.6465949881370971,0.5084088946293253,0.25041751481920027,0.42943851399344246,130,29.0,22,216,35.0,0.034482758620689655,0.6285714285714286
Sebastian Ofner,o513,0.6842159505485033,0.6258119664431754,0.5806085924795373,0.47741755028525373,0.314909689877795,0.46908148630346336,132,21.0,160,214,13.0,0.047619047619047616,12.307692307692308
Stefano Travaglia,ta12,0.5939500965210747,0.6702851571069031,0.5868075965412675,0.467987078821318,0.2973430106323059,0.5269494195175481,133,25.0,194,213,10.0,0.04,19.4
Norbert Gombos,gb93,0.5778667804829232,0.753106042723211,0.640573734562726,0.48987489837905285,0.302901771094718,0.4995411461253332,134,27.0,2,212,29.0,0.037037037037037035,0.06896551724137931
